FIPS,County,Unemployment Rate
48001,Anderson,4
48003,Andrews,3.2
48005,Angelina,5.3
48007,Aransas,5.4
48009,Archer,3.7
48011,Armstrong,2.5
48013,Atascosa,4.3
48015,Austin,4.6
48017,Bailey,4.8
48019,Bandera,3.7
48021,Bastrop,3.9
48023,Baylor,3.6
48025,Bee,6.4
48027,Bell,4.4
48029,Bexar,3.8
48031,Blanco,2.7
48033,Borden,3.7
48035,Bosque,4.2
48037,Bowie,4.8
48039,Brazoria,5.6
48041,Brazos,3.6
48043,Brewster,3.6
48045,Briscoe,4.6
48047,Brooks,9
48049,Brown,4.2
48051,Burleson,4.5
48053,Burnet,3.2
48055,Caldwell,4.2
48057,Calhoun,5.7
48059,Callahan,3.8
48061,Cameron,7.5
48063,Camp,6
48065,Carson,3.4
48067,Cass,5.9
48069,Castro,3.5
48071,Chambers,6.7
48073,Cherokee,4.7
48075,Childress,3
48077,Clay,3.6
48079,Cochran,4.1
48081,Coke,3.6
48083,Coleman,4.6
48085,Collin,3.7
48087,Collingsworth,3.8
48089,Colorado,3.9
48091,Comal,3.5
48093,Comanche,3.7
48095,Concho,5.8
48097,Cooke,3.8
48099,Coryell,4.4
48101,Cottle,4.2
48103,Crane,5
48105,Crockett,4.1
48107,Crosby,4.9
48109,Culberson,3.7
48111,Dallam,2.3
48113,Dallas,4.1
48115,Dawson,5.4
48117,Deaf Smith,3.3
48119,Delta,3.4
48121,Denton,3.5
48123,Dewitt,4.4
48125,Dickens,4.7
48127,Dimmit,5.8
48129,Donley,4.2
48131,Duval,7.8
48133,Eastland,4.7
48135,Ector,4.2
48137,Edwards,3.2
48139,El Paso,4.9
48141,Ellis,3.7
48143,Erath,3.8
48145,Falls,4.5
48147,Fannin,3.5
48149,Fayette,3.1
48151,Fisher,3.6
48153,Floyd,5.6
48155,Foard,3.2
48157,Fort Bend,4.8
48159,Franklin,4.7
48161,Freestone,6.6
48163,Frio,4.2
48165,Gaines,3.2
48167,Galveston,5.4
48169,Garza,3.5
48171,Gillespie,2.6
48173,Glasscock,2.9
48175,Goliad,4.8
48177,Gonzales,3.6
48179,Gray,5.4
48181,Grayson,3.7
48183,Gregg,5.4
48185,Grimes,5.6
48187,Guadalupe,3.5
48189,Hale,6.1
48191,Hall,6
48193,Hamilton,4.2
48195,Hansford,2.5
48197,Hardeman,3.8
48199,Hardin,6.1
48201,Harris,5.2
48203,Harrison,5.4
48205,Hartley,2.1
48207,Haskell,5.1
48209,Hays,3.4
48211,Hemphill,2.8
48213,Henderson,4.4
48215,Hidalgo,7.9
48217,Hill,4.2
48219,Hockley,4.1
48221,Hood,4.4
48223,Hopkins,3.8
48225,Houston,4.2
48227,Howard,4.5
48229,Hudspeth,6.4
48231,Hunt,4.2
48233,Hutchinson,6.7
48235,Irion,2.9
48237,Jack,3.9
48239,Jackson,4.4
48241,Jasper,7.5
48243,Jeff Davis,3.1
48245,Jefferson,7.1
48247,Jim Hogg,7.4
48249,Jim Wells,7.6
48251,Johnson,4
48253,Jones,5.5
48255,Karnes,3.6
48257,Kaufman,3.8
48259,Kendall,3.3
48261,Kenedy,2.8
48263,Kent,2.4
48265,Kerr,3.5
48267,Kimble,3.7
48269,King,4
48271,Kinney,5
48273,Kleberg,6.5
48275,Knox,4.4
48277,La Salle,3.5
48279,Lamar,4.2
48281,Lamb,5.6
48283,Lampasas,3.7
48285,Lavaca,3.6
48287,Lee,3.3
48289,Leon,6.5
48291,Liberty,7.3
48293,Limestone,5.7
48295,Lipscomb,3.2
48297,Live Oak,4.7
48299,Llano,3.6
48301,Loving,4.1
48303,Lubbock,3.7
48305,Lynn,4.2
48307,Madison,5.2
48309,Marion,5.9
48311,Martin,3.4
48313,Mason,3.4
48315,Matagorda,7.3
48317,Maverick,9.7
48319,McCulloch,3.9
48321,McLennan,4.5
48323,McMullen,2
48325,Medina,4
48327,Menard,6
48329,Midland,3.1
48331,Milam,5.2
48333,Mills,3.7
48335,Mitchell,5.6
48337,Montague,4.1
48339,Montgomery,4.5
48341,Moore,3.2
48343,Morris,8.5
48345,Motley,3.5
48347,Nacogdoches,4.7
48349,Navarro,4.3
48351,Newton,8.4
48353,Nolan,4.4
48355,Nueces,5.4
48357,Ochiltree,3.7
48359,Oldham,2.6
48361,Orange,6.6
48363,Palo Pinto,4.1
48365,Panola,5.9
48367,Parker,3.6
48369,Parmer,2.7
48371,Pecos,4.9
48373,Polk,6.1
48375,Potter,3.5
48377,Presidio,9.8
48379,Rains,3.6
48381,Randall,3.1
48383,Reagan,3.9
48385,Real,5.5
48387,Red River,5.3
48389,Reeves,3.3
48391,Refugio,5.3
48393,Roberts,3.3
48395,Robertson,5.2
48397,Rockwall,3.5
48399,Runnels,4.2
48401,Rusk,5.2
48403,Sabine,8.4
48405,San Augustine,7.3
48407,San Jacinto,5.7
48409,San Patricio,7.3
48411,San Saba,3.3
48413,Schleicher,3.7
48415,Scurry,4.7
48417,Shackelford,3
48419,Shelby,5.3
48421,Sherman,3.6
48423,Smith,4.1
48425,Somervell,5.1
48427,Starr,11.9
48429,Stephens,5.3
48431,Sterling,3.3
48433,Stonewall,3.4
48435,Sutton,5.5
48437,Swisher,4.2
48439,Tarrant,3.9
48441,Taylor,3.9
48443,Terrell,4.8
48445,Terry,5.5
48447,Throckmorton,4.3
48449,Titus,5.7
48451,Tom Green,4
48453,Travis,3.1
48455,Trinity,5.3
48457,Tyler,7.4
48459,Upshur,5.3
48461,Upton,3.7
48463,Uvalde,4.8
48465,Val Verde,5
48467,Van Zandt,3.9
48469,Victoria,4.9
48471,Walker,5.1
48473,Waller,5.3
48475,Ward,4.2
48477,Washington,4.5
48479,Webb,4.5
48481,Wharton,4.7
48483,Wheeler,3.9
48485,Wichita,3.9
48487,Wilbarger,4.8
48489,Willacy,11.7
48491,Williamson,3.4
48493,Wilson,3.7
48495,Winkler,5.3
48497,Wise,4.4
48499,Wood,4.8
48501,Yoakum,3.6
48503,Young,3.9
48505,Zapata,7.7
48507,Zavala,12.2
